language,structure,case,n,implementation,run,time_sec
python,binary_heap,1. Push sequential,10000,BinaryHeap,1,0.003320897
python,binary_heap,1. Push sequential,10000,BinaryHeap,2,0.003444248
python,binary_heap,1. Push sequential,10000,BinaryHeap,3,0.002833886
python,binary_heap,1. Push sequential,10000,BinaryHeap,4,0.002820246
python,binary_heap,1. Push sequential,10000,BinaryHeap,5,0.002923535
python,binary_heap,1. Push sequential,10000,heapq,1,0.000719438
python,binary_heap,1. Push sequential,10000,heapq,2,0.000712213
python,binary_heap,1. Push sequential,10000,heapq,3,0.000544248
python,binary_heap,1. Push sequential,10000,heapq,4,0.000482924
python,binary_heap,1. Push sequential,10000,heapq,5,0.000484534
python,binary_heap,1. Push sequential,50000,BinaryHeap,1,0.016401551
python,binary_heap,1. Push sequential,50000,BinaryHeap,2,0.015574090
python,binary_heap,1. Push sequential,50000,BinaryHeap,3,0.016444390
python,binary_heap,1. Push sequential,50000,BinaryHeap,4,0.015022045
python,binary_heap,1. Push sequential,50000,BinaryHeap,5,0.015588706
python,binary_heap,1. Push sequential,50000,heapq,1,0.003456546
python,binary_heap,1. Push sequential,50000,heapq,2,0.002864112
python,binary_heap,1. Push sequential,50000,heapq,3,0.002675991
python,binary_heap,1. Push sequential,50000,heapq,4,0.002589206
python,binary_heap,1. Push sequential,50000,heapq,5,0.003259543
python,binary_heap,1. Push sequential,100000,BinaryHeap,1,0.030779060
python,binary_heap,1. Push sequential,100000,BinaryHeap,2,0.031048928
python,binary_heap,1. Push sequential,100000,BinaryHeap,3,0.033683966
python,binary_heap,1. Push sequential,100000,BinaryHeap,4,0.031214537
python,binary_heap,1. Push sequential,100000,BinaryHeap,5,0.030237982
python,binary_heap,1. Push sequential,100000,heapq,1,0.005884578
python,binary_heap,1. Push sequential,100000,heapq,2,0.005627196
python,binary_heap,1. Push sequential,100000,heapq,3,0.005473773
python,binary_heap,1. Push sequential,100000,heapq,4,0.005106658
python,binary_heap,1. Push sequential,100000,heapq,5,0.005257953
python,binary_heap,1. Push sequential,200000,BinaryHeap,1,0.063734473
python,binary_heap,1. Push sequential,200000,BinaryHeap,2,0.064042770
python,binary_heap,1. Push sequential,200000,BinaryHeap,3,0.063513064
python,binary_heap,1. Push sequential,200000,BinaryHeap,4,0.061252734
python,binary_heap,1. Push sequential,200000,BinaryHeap,5,0.067934854
python,binary_heap,1. Push sequential,200000,heapq,1,0.012929899
python,binary_heap,1. Push sequential,200000,heapq,2,0.015156715
python,binary_heap,1. Push sequential,200000,heapq,3,0.012410459
python,binary_heap,1. Push sequential,200000,heapq,4,0.012062417
python,binary_heap,1. Push sequential,200000,heapq,5,0.011964982
python,binary_heap,1. Push sequential,500000,BinaryHeap,1,0.166635089
python,binary_heap,1. Push sequential,500000,BinaryHeap,2,0.170629081
python,binary_heap,1. Push sequential,500000,BinaryHeap,3,0.162104992
python,binary_heap,1. Push sequential,500000,BinaryHeap,4,0.161727693
python,binary_heap,1. Push sequential,500000,BinaryHeap,5,0.158057556
python,binary_heap,1. Push sequential,500000,heapq,1,0.033168119
python,binary_heap,1. Push sequential,500000,heapq,2,0.033444391
python,binary_heap,1. Push sequential,500000,heapq,3,0.035502398
python,binary_heap,1. Push sequential,500000,heapq,4,0.034292759
python,binary_heap,1. Push sequential,500000,heapq,5,0.035005036
python,binary_heap,1. Push sequential,1000000,BinaryHeap,1,0.331190190
python,binary_heap,1. Push sequential,1000000,BinaryHeap,2,0.319540036
python,binary_heap,1. Push sequential,1000000,BinaryHeap,3,0.317875574
python,binary_heap,1. Push sequential,1000000,BinaryHeap,4,0.319075007
python,binary_heap,1. Push sequential,1000000,BinaryHeap,5,0.312512327
python,binary_heap,1. Push sequential,1000000,heapq,1,0.065955333
python,binary_heap,1. Push sequential,1000000,heapq,2,0.066406229
python,binary_heap,1. Push sequential,1000000,heapq,3,0.068374501
python,binary_heap,1. Push sequential,1000000,heapq,4,0.061409759
python,binary_heap,1. Push sequential,1000000,heapq,5,0.059402441
python,binary_heap,1. Push sequential,2000000,BinaryHeap,1,0.639102924
python,binary_heap,1. Push sequential,2000000,BinaryHeap,2,0.622186747
python,binary_heap,1. Push sequential,2000000,BinaryHeap,3,0.641492346
python,binary_heap,1. Push sequential,2000000,BinaryHeap,4,0.606627547
python,binary_heap,1. Push sequential,2000000,BinaryHeap,5,0.635194390
python,binary_heap,1. Push sequential,2000000,heapq,1,0.123377291
python,binary_heap,1. Push sequential,2000000,heapq,2,0.121433831
python,binary_heap,1. Push sequential,2000000,heapq,3,0.125083307
python,binary_heap,1. Push sequential,2000000,heapq,4,0.122904148
python,binary_heap,1. Push sequential,2000000,heapq,5,0.119725516
python,binary_heap,1. Push sequential,5000000,BinaryHeap,1,1.508564542
python,binary_heap,1. Push sequential,5000000,BinaryHeap,2,1.474073179
python,binary_heap,1. Push sequential,5000000,BinaryHeap,3,1.451037508
python,binary_heap,1. Push sequential,5000000,BinaryHeap,4,1.546336275
python,binary_heap,1. Push sequential,5000000,BinaryHeap,5,1.568357785
python,binary_heap,1. Push sequential,5000000,heapq,1,0.306124922
python,binary_heap,1. Push sequential,5000000,heapq,2,0.292034594
python,binary_heap,1. Push sequential,5000000,heapq,3,0.298220896
python,binary_heap,1. Push sequential,5000000,heapq,4,0.294911610
python,binary_heap,1. Push sequential,5000000,heapq,5,0.289508506
python,binary_heap,1. Push sequential,10000000,BinaryHeap,1,2.887659027
python,binary_heap,1. Push sequential,10000000,BinaryHeap,2,2.944639403
python,binary_heap,1. Push sequential,10000000,BinaryHeap,3,2.994741969
python,binary_heap,1. Push sequential,10000000,BinaryHeap,4,2.944025109
python,binary_heap,1. Push sequential,10000000,BinaryHeap,5,3.036230004
python,binary_heap,1. Push sequential,10000000,heapq,1,0.595083332
python,binary_heap,1. Push sequential,10000000,heapq,2,0.593125079
python,binary_heap,1. Push sequential,10000000,heapq,3,0.580608317
python,binary_heap,1. Push sequential,10000000,heapq,4,0.578792147
python,binary_heap,1. Push sequential,10000000,heapq,5,0.574728142
python,binary_heap,1. Push sequential,15000000,BinaryHeap,1,4.442381023
python,binary_heap,1. Push sequential,15000000,BinaryHeap,2,4.378355167
python,binary_heap,1. Push sequential,15000000,BinaryHeap,3,4.410695013
python,binary_heap,1. Push sequential,15000000,BinaryHeap,4,4.386156105
python,binary_heap,1. Push sequential,15000000,BinaryHeap,5,4.376421169
python,binary_heap,1. Push sequential,15000000,heapq,1,0.888186779
python,binary_heap,1. Push sequential,15000000,heapq,2,0.867602659
python,binary_heap,1. Push sequential,15000000,heapq,3,0.868998193
python,binary_heap,1. Push sequential,15000000,heapq,4,0.864492589
python,binary_heap,1. Push sequential,15000000,heapq,5,0.867027751
python,binary_heap,2. Push reverse sequential,10000,BinaryHeap,1,0.023916683
python,binary_heap,2. Push reverse sequential,10000,BinaryHeap,2,0.025816827
python,binary_heap,2. Push reverse sequential,10000,BinaryHeap,3,0.024511648
python,binary_heap,2. Push reverse sequential,10000,BinaryHeap,4,0.025105733
python,binary_heap,2. Push reverse sequential,10000,BinaryHeap,5,0.024714960
python,binary_heap,2. Push reverse sequential,10000,heapq,1,0.001850896
python,binary_heap,2. Push reverse sequential,10000,heapq,2,0.001823825
python,binary_heap,2. Push reverse sequential,10000,heapq,3,0.001851322
python,binary_heap,2. Push reverse sequential,10000,heapq,4,0.001942697
python,binary_heap,2. Push reverse sequential,10000,heapq,5,0.001954855
python,binary_heap,2. Push reverse sequential,50000,BinaryHeap,1,0.148883909
python,binary_heap,2. Push reverse sequential,50000,BinaryHeap,2,0.144067924
python,binary_heap,2. Push reverse sequential,50000,BinaryHeap,3,0.143692495
python,binary_heap,2. Push reverse sequential,50000,BinaryHeap,4,0.147248485
python,binary_heap,2. Push reverse sequential,50000,BinaryHeap,5,0.144680295
python,binary_heap,2. Push reverse sequential,50000,heapq,1,0.011191701
python,binary_heap,2. Push reverse sequential,50000,heapq,2,0.010974856
python,binary_heap,2. Push reverse sequential,50000,heapq,3,0.011208758
python,binary_heap,2. Push reverse sequential,50000,heapq,4,0.011326972
python,binary_heap,2. Push reverse sequential,50000,heapq,5,0.011168373
python,binary_heap,2. Push reverse sequential,100000,BinaryHeap,1,0.313704917
python,binary_heap,2. Push reverse sequential,100000,BinaryHeap,2,0.317402819
python,binary_heap,2. Push reverse sequential,100000,BinaryHeap,3,0.312208145
python,binary_heap,2. Push reverse sequential,100000,BinaryHeap,4,0.325450359
python,binary_heap,2. Push reverse sequential,100000,BinaryHeap,5,0.323577053
python,binary_heap,2. Push reverse sequential,100000,heapq,1,0.027015517
python,binary_heap,2. Push reverse sequential,100000,heapq,2,0.024750119
python,binary_heap,2. Push reverse sequential,100000,heapq,3,0.025105161
python,binary_heap,2. Push reverse sequential,100000,heapq,4,0.025254797
python,binary_heap,2. Push reverse sequential,100000,heapq,5,0.024825195
python,binary_heap,2. Push reverse sequential,200000,BinaryHeap,1,0.689126945
python,binary_heap,2. Push reverse sequential,200000,BinaryHeap,2,0.683079211
python,binary_heap,2. Push reverse sequential,200000,BinaryHeap,3,0.685700399
python,binary_heap,2. Push reverse sequential,200000,BinaryHeap,4,0.689946331
python,binary_heap,2. Push reverse sequential,200000,BinaryHeap,5,0.682634244
python,binary_heap,2. Push reverse sequential,200000,heapq,1,0.051998314
python,binary_heap,2. Push reverse sequential,200000,heapq,2,0.052104321
python,binary_heap,2. Push reverse sequential,200000,heapq,3,0.054061088
python,binary_heap,2. Push reverse sequential,200000,heapq,4,0.055639287
python,binary_heap,2. Push reverse sequential,200000,heapq,5,0.052195276
python,binary_heap,2. Push reverse sequential,500000,BinaryHeap,1,1.813132649
python,binary_heap,2. Push reverse sequential,500000,BinaryHeap,2,1.801826220
python,binary_heap,2. Push reverse sequential,500000,BinaryHeap,3,1.835972829
python,binary_heap,2. Push reverse sequential,500000,BinaryHeap,4,1.858166976
python,binary_heap,2. Push reverse sequential,500000,BinaryHeap,5,1.806089165
python,binary_heap,2. Push reverse sequential,500000,heapq,1,0.144134276
python,binary_heap,2. Push reverse sequential,500000,heapq,2,0.141002655
python,binary_heap,2. Push reverse sequential,500000,heapq,3,0.139337040
python,binary_heap,2. Push reverse sequential,500000,heapq,4,0.136984222
python,binary_heap,2. Push reverse sequential,500000,heapq,5,0.145825905
python,binary_heap,2. Push reverse sequential,1000000,BinaryHeap,1,3.888683052
python,binary_heap,2. Push reverse sequential,1000000,BinaryHeap,2,3.889880070
python,binary_heap,2. Push reverse sequential,1000000,BinaryHeap,3,3.913100521
python,binary_heap,2. Push reverse sequential,1000000,BinaryHeap,4,3.836505251
python,binary_heap,2. Push reverse sequential,1000000,BinaryHeap,5,3.905364141
python,binary_heap,2. Push reverse sequential,1000000,heapq,1,0.291298620
python,binary_heap,2. Push reverse sequential,1000000,heapq,2,0.301789055
python,binary_heap,2. Push reverse sequential,1000000,heapq,3,0.295756004
python,binary_heap,2. Push reverse sequential,1000000,heapq,4,0.301758813
python,binary_heap,2. Push reverse sequential,1000000,heapq,5,0.297552402
python,binary_heap,2. Push reverse sequential,2000000,BinaryHeap,1,8.116709954
python,binary_heap,2. Push reverse sequential,2000000,BinaryHeap,2,8.103839575
python,binary_heap,2. Push reverse sequential,2000000,BinaryHeap,3,8.124492473
python,binary_heap,2. Push reverse sequential,2000000,BinaryHeap,4,8.116534785
python,binary_heap,2. Push reverse sequential,2000000,BinaryHeap,5,8.158042452
python,binary_heap,2. Push reverse sequential,2000000,heapq,1,0.623497171
python,binary_heap,2. Push reverse sequential,2000000,heapq,2,0.624811114
python,binary_heap,2. Push reverse sequential,2000000,heapq,3,0.620352005
python,binary_heap,2. Push reverse sequential,2000000,heapq,4,0.648028175
python,binary_heap,2. Push reverse sequential,2000000,heapq,5,0.626901183
python,binary_heap,2. Push reverse sequential,5000000,BinaryHeap,1,21.853835468
python,binary_heap,2. Push reverse sequential,5000000,BinaryHeap,2,21.713869410
python,binary_heap,2. Push reverse sequential,5000000,BinaryHeap,3,21.756024643
python,binary_heap,2. Push reverse sequential,5000000,BinaryHeap,4,21.685569009
python,binary_heap,2. Push reverse sequential,5000000,BinaryHeap,5,21.711316377
python,binary_heap,2. Push reverse sequential,5000000,heapq,1,1.659372303
python,binary_heap,2. Push reverse sequential,5000000,heapq,2,1.631737591
python,binary_heap,2. Push reverse sequential,5000000,heapq,3,1.645643561
python,binary_heap,2. Push reverse sequential,5000000,heapq,4,1.634345935
python,binary_heap,2. Push reverse sequential,5000000,heapq,5,1.642825291
python,binary_heap,2. Push reverse sequential,10000000,BinaryHeap,1,45.488987737
python,binary_heap,2. Push reverse sequential,10000000,BinaryHeap,2,45.505992710
python,binary_heap,2. Push reverse sequential,10000000,BinaryHeap,3,45.470474356
python,binary_heap,2. Push reverse sequential,10000000,BinaryHeap,4,45.330647676
python,binary_heap,2. Push reverse sequential,10000000,BinaryHeap,5,45.398307991
python,binary_heap,2. Push reverse sequential,10000000,heapq,1,3.432482024
python,binary_heap,2. Push reverse sequential,10000000,heapq,2,3.422362623
python,binary_heap,2. Push reverse sequential,10000000,heapq,3,3.449351522
python,binary_heap,2. Push reverse sequential,10000000,heapq,4,3.438235189
python,binary_heap,2. Push reverse sequential,10000000,heapq,5,3.453214311
python,binary_heap,2. Push reverse sequential,15000000,BinaryHeap,1,71.690722390
python,binary_heap,2. Push reverse sequential,15000000,BinaryHeap,2,72.042610372
python,binary_heap,2. Push reverse sequential,15000000,BinaryHeap,3,70.543816967
python,binary_heap,2. Push reverse sequential,15000000,BinaryHeap,4,70.521098467
python,binary_heap,2. Push reverse sequential,15000000,BinaryHeap,5,70.456129100
python,binary_heap,2. Push reverse sequential,15000000,heapq,1,5.130226473
python,binary_heap,2. Push reverse sequential,15000000,heapq,2,5.097972323
python,binary_heap,2. Push reverse sequential,15000000,heapq,3,5.067967275
python,binary_heap,2. Push reverse sequential,15000000,heapq,4,5.113886258
python,binary_heap,2. Push reverse sequential,15000000,heapq,5,5.120662005
python,binary_heap,3. Push random,10000,BinaryHeap,1,0.005717254
python,binary_heap,3. Push random,10000,BinaryHeap,2,0.005656028
python,binary_heap,3. Push random,10000,BinaryHeap,3,0.005645390
python,binary_heap,3. Push random,10000,BinaryHeap,4,0.006033941
python,binary_heap,3. Push random,10000,BinaryHeap,5,0.005648011
python,binary_heap,3. Push random,10000,heapq,1,0.000749450
python,binary_heap,3. Push random,10000,heapq,2,0.000742082
python,binary_heap,3. Push random,10000,heapq,3,0.000740641
python,binary_heap,3. Push random,10000,heapq,4,0.000768532
python,binary_heap,3. Push random,10000,heapq,5,0.000740058
python,binary_heap,3. Push random,50000,BinaryHeap,1,0.029528613
python,binary_heap,3. Push random,50000,BinaryHeap,2,0.029402888
python,binary_heap,3. Push random,50000,BinaryHeap,3,0.030060499
python,binary_heap,3. Push random,50000,BinaryHeap,4,0.029132761
python,binary_heap,3. Push random,50000,BinaryHeap,5,0.028966795
python,binary_heap,3. Push random,50000,heapq,1,0.004146544
python,binary_heap,3. Push random,50000,heapq,2,0.004029803
python,binary_heap,3. Push random,50000,heapq,3,0.004075683
python,binary_heap,3. Push random,50000,heapq,4,0.004202037
python,binary_heap,3. Push random,50000,heapq,5,0.004399598
python,binary_heap,3. Push random,100000,BinaryHeap,1,0.060687851
python,binary_heap,3. Push random,100000,BinaryHeap,2,0.059657409
python,binary_heap,3. Push random,100000,BinaryHeap,3,0.060855633
python,binary_heap,3. Push random,100000,BinaryHeap,4,0.059345194
python,binary_heap,3. Push random,100000,BinaryHeap,5,0.059507500
python,binary_heap,3. Push random,100000,heapq,1,0.009465793
python,binary_heap,3. Push random,100000,heapq,2,0.009158203
python,binary_heap,3. Push random,100000,heapq,3,0.009115834
python,binary_heap,3. Push random,100000,heapq,4,0.009128271
python,binary_heap,3. Push random,100000,heapq,5,0.009009004
python,binary_heap,3. Push random,200000,BinaryHeap,1,0.131506400
python,binary_heap,3. Push random,200000,BinaryHeap,2,0.122176172
python,binary_heap,3. Push random,200000,BinaryHeap,3,0.121918262
python,binary_heap,3. Push random,200000,BinaryHeap,4,0.121707595
python,binary_heap,3. Push random,200000,BinaryHeap,5,0.123894514
python,binary_heap,3. Push random,200000,heapq,1,0.019712143
python,binary_heap,3. Push random,200000,heapq,2,0.019152029
python,binary_heap,3. Push random,200000,heapq,3,0.020490335
python,binary_heap,3. Push random,200000,heapq,4,0.019684207
python,binary_heap,3. Push random,200000,heapq,5,0.020082500
python,binary_heap,3. Push random,500000,BinaryHeap,1,0.307322246
python,binary_heap,3. Push random,500000,BinaryHeap,2,0.308155023
python,binary_heap,3. Push random,500000,BinaryHeap,3,0.306281158
python,binary_heap,3. Push random,500000,BinaryHeap,4,0.307323153
python,binary_heap,3. Push random,500000,BinaryHeap,5,0.312062075
python,binary_heap,3. Push random,500000,heapq,1,0.057787966
python,binary_heap,3. Push random,500000,heapq,2,0.059410481
python,binary_heap,3. Push random,500000,heapq,3,0.057464829
python,binary_heap,3. Push random,500000,heapq,4,0.056621898
python,binary_heap,3. Push random,500000,heapq,5,0.058390592
python,binary_heap,3. Push random,1000000,BinaryHeap,1,0.642505378
python,binary_heap,3. Push random,1000000,BinaryHeap,2,0.635307615
python,binary_heap,3. Push random,1000000,BinaryHeap,3,0.641251177
python,binary_heap,3. Push random,1000000,BinaryHeap,4,0.636605666
python,binary_heap,3. Push random,1000000,BinaryHeap,5,0.642662315
python,binary_heap,3. Push random,1000000,heapq,1,0.132518523
python,binary_heap,3. Push random,1000000,heapq,2,0.138393839
python,binary_heap,3. Push random,1000000,heapq,3,0.132946092
python,binary_heap,3. Push random,1000000,heapq,4,0.136765540
python,binary_heap,3. Push random,1000000,heapq,5,0.131671998
python,binary_heap,3. Push random,2000000,BinaryHeap,1,1.277447448
python,binary_heap,3. Push random,2000000,BinaryHeap,2,1.278204993
python,binary_heap,3. Push random,2000000,BinaryHeap,3,1.270787432
python,binary_heap,3. Push random,2000000,BinaryHeap,4,1.285190329
python,binary_heap,3. Push random,2000000,BinaryHeap,5,1.281928523
python,binary_heap,3. Push random,2000000,heapq,1,0.275287935
python,binary_heap,3. Push random,2000000,heapq,2,0.277123998
python,binary_heap,3. Push random,2000000,heapq,3,0.276825482
python,binary_heap,3. Push random,2000000,heapq,4,0.271957445
python,binary_heap,3. Push random,2000000,heapq,5,0.270408608
python,binary_heap,3. Push random,5000000,BinaryHeap,1,3.199099292
python,binary_heap,3. Push random,5000000,BinaryHeap,2,3.200040835
python,binary_heap,3. Push random,5000000,BinaryHeap,3,3.218592628
python,binary_heap,3. Push random,5000000,BinaryHeap,4,3.247506569
python,binary_heap,3. Push random,5000000,BinaryHeap,5,3.206134954
python,binary_heap,3. Push random,5000000,heapq,1,0.687947564
python,binary_heap,3. Push random,5000000,heapq,2,0.668399229
python,binary_heap,3. Push random,5000000,heapq,3,0.691560208
python,binary_heap,3. Push random,5000000,heapq,4,0.676462660
python,binary_heap,3. Push random,5000000,heapq,5,0.662799415
python,binary_heap,3. Push random,10000000,BinaryHeap,1,7.796394904
python,binary_heap,3. Push random,10000000,BinaryHeap,2,7.323231746
python,binary_heap,3. Push random,10000000,BinaryHeap,3,6.922384542
python,binary_heap,3. Push random,10000000,BinaryHeap,4,8.953664819
python,binary_heap,3. Push random,10000000,BinaryHeap,5,7.688256747
python,binary_heap,3. Push random,10000000,heapq,1,1.440228506
python,binary_heap,3. Push random,10000000,heapq,2,1.987779313
python,binary_heap,3. Push random,10000000,heapq,3,2.273122735
python,binary_heap,3. Push random,10000000,heapq,4,1.694623074
python,binary_heap,3. Push random,10000000,heapq,5,1.393263923
python,binary_heap,3. Push random,15000000,BinaryHeap,1,10.149630793
python,binary_heap,3. Push random,15000000,BinaryHeap,2,10.005561811
python,binary_heap,3. Push random,15000000,BinaryHeap,3,9.981033674
python,binary_heap,3. Push random,15000000,BinaryHeap,4,10.019298780
python,binary_heap,3. Push random,15000000,BinaryHeap,5,9.982365973
python,binary_heap,3. Push random,15000000,heapq,1,2.308925783
python,binary_heap,3. Push random,15000000,heapq,2,2.377108003
python,binary_heap,3. Push random,15000000,heapq,3,2.350294955
python,binary_heap,3. Push random,15000000,heapq,4,2.315716954
python,binary_heap,3. Push random,15000000,heapq,5,2.344533870
python,binary_heap,4. Heapify random,10000,BinaryHeap,1,0.005031858
python,binary_heap,4. Heapify random,10000,BinaryHeap,2,0.004386559
python,binary_heap,4. Heapify random,10000,BinaryHeap,3,0.004088017
python,binary_heap,4. Heapify random,10000,BinaryHeap,4,0.005766039
python,binary_heap,4. Heapify random,10000,BinaryHeap,5,0.004373778
python,binary_heap,4. Heapify random,10000,heapq,1,0.000293357
python,binary_heap,4. Heapify random,10000,heapq,2,0.000286832
python,binary_heap,4. Heapify random,10000,heapq,3,0.000288647
python,binary_heap,4. Heapify random,10000,heapq,4,0.000286000
python,binary_heap,4. Heapify random,10000,heapq,5,0.000285955
python,binary_heap,4. Heapify random,50000,BinaryHeap,1,0.026589329
python,binary_heap,4. Heapify random,50000,BinaryHeap,2,0.024590292
python,binary_heap,4. Heapify random,50000,BinaryHeap,3,0.022469284
python,binary_heap,4. Heapify random,50000,BinaryHeap,4,0.022279749
python,binary_heap,4. Heapify random,50000,BinaryHeap,5,0.021600735
python,binary_heap,4. Heapify random,50000,heapq,1,0.001600223
python,binary_heap,4. Heapify random,50000,heapq,2,0.001513087
python,binary_heap,4. Heapify random,50000,heapq,3,0.001552419
python,binary_heap,4. Heapify random,50000,heapq,4,0.001487861
python,binary_heap,4. Heapify random,50000,heapq,5,0.001467819
python,binary_heap,4. Heapify random,100000,BinaryHeap,1,0.051743969
python,binary_heap,4. Heapify random,100000,BinaryHeap,2,0.048859034
python,binary_heap,4. Heapify random,100000,BinaryHeap,3,0.046784137
python,binary_heap,4. Heapify random,100000,BinaryHeap,4,0.047476059
python,binary_heap,4. Heapify random,100000,BinaryHeap,5,0.046691367
python,binary_heap,4. Heapify random,100000,heapq,1,0.003621002
python,binary_heap,4. Heapify random,100000,heapq,2,0.004600985
python,binary_heap,4. Heapify random,100000,heapq,3,0.003845624
python,binary_heap,4. Heapify random,100000,heapq,4,0.003422290
python,binary_heap,4. Heapify random,100000,heapq,5,0.003365877
python,binary_heap,4. Heapify random,200000,BinaryHeap,1,0.103915480
python,binary_heap,4. Heapify random,200000,BinaryHeap,2,0.102504194
python,binary_heap,4. Heapify random,200000,BinaryHeap,3,0.102102817
python,binary_heap,4. Heapify random,200000,BinaryHeap,4,0.111582845
python,binary_heap,4. Heapify random,200000,BinaryHeap,5,0.111367053
python,binary_heap,4. Heapify random,200000,heapq,1,0.007665253
python,binary_heap,4. Heapify random,200000,heapq,2,0.007856444
python,binary_heap,4. Heapify random,200000,heapq,3,0.008217041
python,binary_heap,4. Heapify random,200000,heapq,4,0.007823216
python,binary_heap,4. Heapify random,200000,heapq,5,0.007563065
python,binary_heap,4. Heapify random,500000,BinaryHeap,1,0.277456551
python,binary_heap,4. Heapify random,500000,BinaryHeap,2,0.260429666
python,binary_heap,4. Heapify random,500000,BinaryHeap,3,0.275046613
python,binary_heap,4. Heapify random,500000,BinaryHeap,4,0.258082923
python,binary_heap,4. Heapify random,500000,BinaryHeap,5,0.270806517
python,binary_heap,4. Heapify random,500000,heapq,1,0.022510924
python,binary_heap,4. Heapify random,500000,heapq,2,0.022338071
python,binary_heap,4. Heapify random,500000,heapq,3,0.022639893
python,binary_heap,4. Heapify random,500000,heapq,4,0.023093611
python,binary_heap,4. Heapify random,500000,heapq,5,0.022610494
python,binary_heap,4. Heapify random,1000000,BinaryHeap,1,0.564222045
python,binary_heap,4. Heapify random,1000000,BinaryHeap,2,0.558548672
python,binary_heap,4. Heapify random,1000000,BinaryHeap,3,0.553461006
python,binary_heap,4. Heapify random,1000000,BinaryHeap,4,0.549775387
